"contract","payment_method","tenure_months","monthly_charges","total_charges","churn_value","churn_score","cltv"
"Month-to-month","Bank transfer (automatic)",10,"86.05","834.1",1,85,"2966"
"Month-to-month","Credit card (automatic)",13,"45.55","597.0",1,74,"4856"
"Month-to-month","Mailed check",39,"86.3","3266.0",1,98,"3364"
"Month-to-month","Bank transfer (automatic)",32,"80.35","2596.15",1,92,"5974"
"Month-to-month","Electronic check",35,"100.25","3527.6",1,72,"2744"
"One year","Credit card (automatic)",56,"100.3","5614.45",1,67,"5170"
"Month-to-month","Mailed check",12,"19.0","233.55",1,72,"3535"
"Month-to-month","Mailed check",1,"75.3","75.3",1,87,"3244"
"Month-to-month","Electronic check",4,"89.2","346.2",1,74,"5808"
"Month-to-month","Electronic check",1,"85.7","85.7",1,66,"4880"
"Month-to-month","Mailed check",12,"61.65","713.75",1,67,"5670"
"Month-to-month","Bank transfer (automatic)",65,"105.25","6786.4",1,91,"4196"
"Month-to-month","Electronic check",9,"29.95","248.95",1,83,"2573"
"Month-to-month","Mailed check",9,"65.0","663.05",1,76,"3983"
"Month-to-month","Bank transfer (automatic)",7,"20.0","137.6",1,100,"4479"
"Month-to-month","Credit card (automatic)",49,"90.05","4547.25",1,96,"5059"
"Month-to-month","Bank transfer (automatic)",43,"110.75","4687.9",1,65,"2728"
"Month-to-month","Electronic check",65,"105.5","6985.65",1,89,"5720"
"One year","Bank transfer (automatic)",56,"104.55","5794.65",1,91,"6268"
"Month-to-month","Electronic check",10,"85.25","855.3",1,75,"3573"
"Month-to-month","Electronic check",43,"56.15","2499.3",1,65,"2152"
"Month-to-month","Electronic check",1,"89.55","89.55",1,99,"4996"
"Month-to-month","Electronic check",20,"94.55","1899.65",1,84,"5604"
"Month-to-month","Mailed check",1,"45.7","45.7",1,95,"2295"
"Month-to-month","Electronic check",2,"89.5","161.5",1,80,"2065"
"Month-to-month","Bank transfer (automatic)",3,"69.55","222.3",1,87,"2876"
"Month-to-month","Mailed check",1,"74.6","74.6",1,94,"3860"
"Month-to-month","Electronic check",8,"19.65","164.3",1,83,"5432"
"One year","Mailed check",2,"19.85","35.9",1,68,"2362"
"Month-to-month","Mailed check",4,"24.25","96.05",1,93,"2038"
"Month-to-month","Electronic check",2,"69.65","145.15",1,80,"2323"
"Month-to-month","Mailed check",4,"45.65","191.05",1,78,"2864"
"Month-to-month","Mailed check",1,"75.05","75.05",1,78,"4838"
"Month-to-month","Electronic check",52,"49.15","2550.9",1,90,"5597"
"Month-to-month","Electronic check",2,"34.7","62.25",1,65,"3146"
"Month-to-month","Electronic check",1,"80.0","80.0",1,88,"2046"
"Month-to-month","Electronic check",2,"49.25","91.1",1,89,"3475"
"Month-to-month","Credit card (automatic)",3,"75.1","270.7",1,69,"4965"
"Month-to-month","Electronic check",3,"50.15","168.15",1,86,"3273"
"Month-to-month","Bank transfer (automatic)",25,"79.85","2015.35",1,85,"4535"
"Month-to-month","Mailed check",1,"19.55","19.55",1,66,"3556"
"Month-to-month","Electronic check",4,"85.95","381.3",1,74,"5640"
"Month-to-month","Electronic check",3,"45.35","141.5",1,67,"2450"
"Month-to-month","Electronic check",33,"94.5","3105.55",1,96,"4333"
"Month-to-month","Credit card (automatic)",30,"91.7","2758.15",1,97,"2482"
"Month-to-month","Electronic check",45,"87.25","3941.7",1,73,"5269"
"Month-to-month","Electronic check",10,"98.55","1008.55",1,80,"3658"
"Month-to-month","Electronic check",20,"98.55","1842.8",1,92,"5444"
"Month-to-month","Bank transfer (automatic)",15,"85.9","1269.55",1,96,"3579"
"Month-to-month","Electronic check",22,"89.25","1907.85",1,82,"3161"
"Month-to-month","Electronic check",3,"70.3","208.85",1,66,"3038"
"Month-to-month","Electronic check",15,"93.35","1444.65",1,77,"5264"
"Month-to-month","Mailed check",1,"19.9","19.9",1,100,"4248"
"Month-to-month","Mailed check",5,"88.9","454.15",1,79,"4356"
"One year","Electronic check",33,"95.8","3036.75",1,76,"4161"
"Month-to-month","Electronic check",2,"82.0","184.65",1,97,"3051"
"Month-to-month","Electronic check",2,"45.35","89.5",1,81,"3478"
"Month-to-month","Electronic check",1,"52.2","52.2",1,71,"4138"
"One year","Electronic check",46,"110.0","4874.8",1,81,"2403"
"One year","Electronic check",62,"96.75","6125.4",1,92,"5016"
"Month-to-month","Electronic check",10,"98.5","1058.25",1,74,"5184"
"Month-to-month","Electronic check",6,"85.35","489.45",1,75,"4694"
"Month-to-month","Electronic check",40,"101.3","4113.1",1,70,"2576"
"Month-to-month","Electronic check",1,"69.55","69.55",1,76,"3042"
"One year","Bank transfer (automatic)",58,"103.25","6017.65",1,74,"6105"
"Two year","Credit card (automatic)",70,"104.0","7250.15",1,80,"4544"
"Month-to-month","Mailed check",2,"86.2","178.7",1,95,"2969"
"Month-to-month","Electronic check",21,"111.2","2317.1",1,89,"4123"
"Month-to-month","Credit card (automatic)",16,"89.45","1430.25",1,73,"3696"
"Month-to-month","Bank transfer (automatic)",7,"95.6","644.35",1,83,"3265"
"One year","Electronic check",60,"90.95","5453.4",1,76,"4111"
"One year","Electronic check",50,"108.55","5610.7",1,82,"4274"
"Month-to-month","Electronic check",4,"78.85","292.8",1,72,"5301"
"Month-to-month","Mailed check",1,"44.4","44.4",1,89,"3522"
"One year","Electronic check",55,"100.0","5509.3",1,83,"5679"
"One year","Bank transfer (automatic)",12,"19.8","229.6",1,94,"2653"
"Month-to-month","Electronic check",1,"89.9","89.9",1,80,"5951"
"One year","Electronic check",62,"100.15","6413.65",1,91,"5600"
"Month-to-month","Electronic check",1,"50.8","50.8",1,85,"3718"
"Month-to-month","Electronic check",20,"73.65","1463.5",1,95,"5849"
"Month-to-month","Electronic check",3,"95.1","307.4",1,77,"5861"
"Month-to-month","Credit card (automatic)",22,"94.65","2104.55",1,85,"3665"
"Month-to-month","Mailed check",4,"80.6","319.15",1,86,"3080"
"One year","Electronic check",59,"85.55","5084.65",1,80,"6304"
"Month-to-month","Electronic check",60,"50.8","3027.4",1,67,"4941"
"Month-to-month","Electronic check",15,"105.1","1582.75",1,84,"2122"
"Month-to-month","Electronic check",10,"110.1","1043.3",1,76,"5803"
"Month-to-month","Electronic check",6,"83.9","497.55",1,97,"3962"
"Month-to-month","Electronic check",63,"100.55","6215.35",1,79,"5413"
"Month-to-month","Bank transfer (automatic)",50,"103.85","5017.9",1,100,"5812"
"Month-to-month","Electronic check",1,"24.6","24.6",1,76,"5768"
"Month-to-month","Bank transfer (automatic)",12,"98.9","1120.95",1,71,"5559"
"Month-to-month","Credit card (automatic)",9,"98.3","923.5",1,81,"2954"
"Month-to-month","Electronic check",17,"93.85","1625.65",1,93,"4940"
"Month-to-month","Electronic check",9,"100.5","918.6",1,70,"4038"
"Month-to-month","Electronic check",10,"72.85","688.65",1,99,"3189"
"Month-to-month","Electronic check",1,"73.55","73.55",1,94,"4369"
"Month-to-month","Electronic check",3,"79.4","205.05",1,91,"3501"
"Month-to-month","Electronic check",13,"81.15","952.3",1,79,"4806"
"Month-to-month","Electronic check",4,"84.6","360.1",1,83,"2467"
"Month-to-month","Electronic check",6,"79.05","434.5",1,99,"3263"
"Month-to-month","Bank transfer (automatic)",3,"74.4","215.8",1,97,"2054"
"Month-to-month","Electronic check",35,"99.05","3395.8",1,82,"2074"
"Month-to-month","Mailed check",2,"44.95","85.15",1,84,"5900"
"Month-to-month","Credit card (automatic)",1,"44.7","44.7",1,74,"3700"
"Month-to-month","Mailed check",1,"45.7","45.7",1,72,"3571"
"Month-to-month","Credit card (automatic)",8,"100.3","832.35",1,74,"5084"
"Month-to-month","Electronic check",7,"19.25","112.3",1,82,"4489"
"Month-to-month","Electronic check",2,"96.0","174.8",1,83,"3391"
"Month-to-month","Electronic check",1,"90.55","90.55",1,72,"2627"
"Month-to-month","Electronic check",44,"30.35","1359.7",1,96,"4829"
"Two year","Electronic check",71,"108.05","7532.15",1,81,"5200"
"Month-to-month","Electronic check",1,"69.9","69.9",1,84,"5367"
"One year","Electronic check",62,"103.75","6383.35",1,91,"5052"
"Month-to-month","Electronic check",1,"86.6","86.6",1,93,"5228"
"Month-to-month","Bank transfer (automatic)",33,"80.6","2656.5",1,72,"3601"
"Month-to-month","Credit card (automatic)",35,"85.3","2917.5",1,88,"2455"
"Month-to-month","Credit card (automatic)",34,"70.0","2416.1",1,93,"2318"
"Month-to-month","Electronic check",4,"94.3","424.45",1,99,"5419"
"Month-to-month","Electronic check",7,"95.35","660.9",1,92,"3077"
"Month-to-month","Electronic check",27,"75.5","1893.95",1,65,"2377"
"Month-to-month","Electronic check",18,"90.1","1612.75",1,80,"4260"
"Month-to-month","Electronic check",2,"68.95","119.75",1,84,"5225"
"Month-to-month","Credit card (automatic)",32,"99.55","3204.65",1,71,"5026"
"Month-to-month","Electronic check",18,"57.45","990.85",1,84,"2989"
"One year","Credit card (automatic)",12,"53.65","696.35",1,78,"2595"
"Month-to-month","Electronic check",8,"100.6","819.4",1,90,"5906"
"Month-to-month","Electronic check",26,"83.75","2070.6",1,84,"2404"
"Month-to-month","Mailed check",3,"88.3","273.75",1,68,"4486"
"Month-to-month","Electronic check",8,"92.1","729.95",1,81,"5662"
"Month-to-month","Electronic check",38,"79.45","3013.05",1,85,"2405"
"Month-to-month","Credit card (automatic)",14,"90.45","1266.1",1,96,"4777"
"Month-to-month","Bank transfer (automatic)",32,"69.75","2347.9",1,96,"2356"
"Month-to-month","Mailed check",1,"19.65","19.65",1,99,"5881"
"Month-to-month","Electronic check",12,"43.65","526.95",1,74,"2437"
"Month-to-month","Electronic check",5,"39.5","210.75",1,93,"2863"
"Month-to-month","Bank transfer (automatic)",40,"97.1","3706.95",1,67,"3099"
"Month-to-month","Electronic check",5,"80.0","412.5",1,97,"3937"
"Month-to-month","Mailed check",10,"84.7","832.05",1,69,"5686"
"Month-to-month","Bank transfer (automatic)",2,"89.55","185.55",1,73,"3851"
"Month-to-month","Electronic check",23,"90.6","1943.2",1,82,"4359"
"Month-to-month","Bank transfer (automatic)",23,"90.05","2169.8",1,67,"4650"
"Month-to-month","Bank transfer (automatic)",49,"99.05","4853.75",1,100,"5157"
"Month-to-month","Bank transfer (automatic)",2,"69.75","144.55",1,68,"5667"
"Month-to-month","Credit card (automatic)",2,"49.05","91.1",1,98,"2960"
"Month-to-month","Bank transfer (automatic)",7,"98.05","713.0",1,86,"2561"
"Month-to-month","Bank transfer (automatic)",41,"114.5","4527.45",1,80,"3038"
"Month-to-month","Electronic check",2,"80.95","171.15",1,65,"3533"
"Month-to-month","Electronic check",13,"74.3","940.35",1,97,"2995"
"Month-to-month","Bank transfer (automatic)",11,"89.7","1047.7",1,89,"2202"
"Month-to-month","Credit card (automatic)",17,"100.45","1622.45",1,87,"5508"
"One year","Electronic check",25,"90.4","2178.6",1,100,"5801"
"Month-to-month","Mailed check",3,"56.15","168.15",1,83,"2539"
"Month-to-month","Bank transfer (automatic)",4,"94.4","387.2",1,74,"4249"
"Month-to-month","Credit card (automatic)",37,"78.95","2839.65",1,97,"3982"
"One year","Credit card (automatic)",19,"44.85","893.55",1,72,"5182"
"Month-to-month","Electronic check",39,"105.65","4284.8",1,96,"4687"
"Month-to-month","Mailed check",7,"74.65","544.55",1,75,"3331"
"Month-to-month","Bank transfer (automatic)",14,"64.7","941.0",1,86,"4049"
"Month-to-month","Bank transfer (automatic)",11,"104.05","1133.65",1,82,"4553"
"Month-to-month","Electronic check",1,"35.55","35.55",1,71,"3958"
"Month-to-month","Electronic check",2,"95.15","196.9",1,82,"2414"
"Month-to-month","Mailed check",13,"96.65","1162.85",1,75,"5295"
"Month-to-month","Electronic check",3,"80.4","224.05",1,89,"3834"
"Month-to-month","Mailed check",1,"31.35","31.35",1,85,"3605"
"Month-to-month","Bank transfer (automatic)",12,"89.75","1052.4",1,97,"5671"
"One year","Electronic check",60,"94.4","5610.25",1,99,"4990"
"Month-to-month","Electronic check",1,"19.85","19.85",1,66,"3874"
"Month-to-month","Credit card (automatic)",6,"109.9","669.45",1,69,"5750"
"Month-to-month","Electronic check",15,"101.35","1553.95",1,99,"3025"
"Month-to-month","Bank transfer (automatic)",21,"60.05","1236.15",1,70,"4716"
"Month-to-month","Electronic check",1,"60.15","60.15",1,91,"4611"
"Month-to-month","Electronic check",7,"90.45","593.45",1,98,"5356"
"One year","Bank transfer (automatic)",53,"94.25","4867.95",1,96,"5414"
"Month-to-month","Electronic check",1,"74.9","74.9",1,84,"2548"
"Month-to-month","Electronic check",1,"80.25","80.25",1,69,"2502"
"Month-to-month","Electronic check",17,"69.0","1149.65",1,77,"3368"
"Month-to-month","Electronic check",11,"66.35","740.8",1,91,"2860"
"Month-to-month","Bank transfer (automatic)",19,"86.0","1532.45",1,98,"4857"
"Month-to-month","Electronic check",3,"80.3","250.05",1,72,"3212"
"Month-to-month","Credit card (automatic)",24,"90.55","2282.55",1,67,"5927"
"Month-to-month","Electronic check",2,"75.9","143.35",1,86,"2101"
"Month-to-month","Mailed check",1,"45.85","45.85",1,73,"3706"
"Month-to-month","Electronic check",16,"49.95","810.2",1,78,"4840"
"Month-to-month","Electronic check",34,"78.3","2564.3",1,77,"2777"
"Month-to-month","Electronic check",3,"76.95","228.4",1,92,"4428"
"Month-to-month","Electronic check",16,"96.15","1529.2",1,96,"5913"
"Month-to-month","Electronic check",1,"45.3","45.3",1,66,"4568"
"Month-to-month","Bank transfer (automatic)",15,"19.4","289.3",1,87,"5379"
"Month-to-month","Electronic check",11,"90.15","987.95",1,66,"5250"
"Month-to-month","Mailed check",1,"45.05","45.05",1,98,"4094"
"Month-to-month","Electronic check",1,"75.8","75.8",1,70,"3940"
"Month-to-month","Electronic check",7,"79.3","523.15",1,69,"3830"
"Month-to-month","Electronic check",2,"30.9","59.05",1,98,"2860"
"One year","Credit card (automatic)",46,"95.25","4424.2",1,90,"3180"
"Month-to-month","Bank transfer (automatic)",68,"89.6","6127.6",1,69,"5651"
"One year","Electronic check",59,"110.15","6448.05",1,97,"4601"
"Month-to-month","Electronic check",7,"89.5","676.7",1,89,"3077"
"Month-to-month","Electronic check",8,"75.0","632.95",1,80,"2587"
"Month-to-month","Electronic check",6,"44.75","270.95",1,78,"2087"
"Month-to-month","Electronic check",11,"44.05","483.7",1,84,"3200"
"Month-to-month","Bank transfer (automatic)",15,"85.6","1345.55",1,83,"4981"
"One year","Credit card (automatic)",70,"115.55","8127.6",1,87,"4838"
"Month-to-month","Electronic check",16,"86.6","1281.0",1,81,"2508"
"Month-to-month","Electronic check",18,"85.2","1553.9",1,77,"3326"
"Month-to-month","Electronic check",34,"97.65","3207.55",1,87,"3979"
"Month-to-month","Electronic check",47,"109.55","5124.55",1,90,"5863"
"One year","Electronic check",39,"89.55","3474.45",1,65,"3849"
"Month-to-month","Mailed check",1,"19.45","19.45",1,78,"5687"
"Month-to-month","Mailed check",4,"20.35","76.35",1,81,"4133"
"Month-to-month","Electronic check",1,"69.25","69.25",1,75,"4371"
"One year","Bank transfer (automatic)",59,"99.5","5961.1",1,76,"6098"
"Month-to-month","Electronic check",1,"25.2","25.2",1,67,"5688"
"Month-to-month","Mailed check",2,"45.0","96.45",1,93,"5704"
"Month-to-month","Mailed check",1,"20.15","20.15",1,70,"4103"
"Month-to-month","Credit card (automatic)",66,"105.0","7133.25",1,96,"5723"
"Month-to-month","Credit card (automatic)",3,"54.7","169.45",1,66,"3335"
"Month-to-month","Electronic check",14,"87.25","1258.6",1,78,"4786"
"Month-to-month","Electronic check",10,"79.95","857.2",1,68,"5640"
"Month-to-month","Electronic check",18,"88.35","1639.3",1,96,"5727"
"Month-to-month","Electronic check",9,"94.75","889.9",1,83,"2893"
"Month-to-month","Electronic check",13,"95.05","1290.0",1,97,"2230"
"Month-to-month","Electronic check",4,"78.45","330.05",1,67,"5048"
"Month-to-month","Electronic check",4,"70.2","237.95",1,92,"5094"
"Month-to-month","Bank transfer (automatic)",59,"41.05","2452.7",1,70,"4324"
"Month-to-month","Electronic check",10,"85.6","813.85",1,70,"5146"
"Month-to-month","Electronic check",1,"79.2","79.2",1,76,"4363"
"One year","Mailed check",5,"70.0","347.4",1,77,"2673"
"Month-to-month","Bank transfer (automatic)",1,"49.95","49.95",1,71,"2041"
"Month-to-month","Electronic check",22,"69.25","1554.0",1,85,"2159"
"Month-to-month","Electronic check",34,"94.25","3217.55",1,88,"3369"
"One year","Electronic check",41,"73.0","3001.2",1,86,"2041"
"One year","Credit card (automatic)",64,"100.05","6254.2",1,69,"5452"
"Month-to-month","Credit card (automatic)",4,"99.8","442.85",1,89,"2268"
"Month-to-month","Electronic check",18,"35.0","553.0",1,76,"2649"
"Month-to-month","Electronic check",1,"76.0","76.0",1,72,"2567"
"Month-to-month","Electronic check",2,"93.85","170.85",1,72,"4193"
"Month-to-month","Electronic check",15,"84.3","1308.4",1,86,"4003"
"Month-to-month","Credit card (automatic)",9,"84.4","732.5",1,83,"5745"
"Month-to-month","Electronic check",15,"101.1","1504.05",1,97,"2055"
"Month-to-month","Electronic check",1,"50.45","50.45",1,68,"2928"
"Month-to-month","Mailed check",12,"99.95","1132.75",1,80,"5598"
"Month-to-month","Electronic check",2,"91.4","193.6",1,80,"5100"
"Month-to-month","Credit card (automatic)",5,"75.55","349.65",1,97,"4028"
"Month-to-month","Credit card (automatic)",4,"80.8","332.45",1,72,"5436"
"Month-to-month","Electronic check",16,"100.0","1534.75",1,68,"3794"
"Month-to-month","Electronic check",1,"20.55","20.55",1,87,"5636"
"Month-to-month","Electronic check",5,"85.3","424.15",1,81,"2264"
"Month-to-month","Electronic check",4,"70.4","281.0",1,88,"4494"
"Month-to-month","Bank transfer (automatic)",37,"98.8","3475.55",1,82,"3066"
"Month-to-month","Credit card (automatic)",13,"74.4","896.75",1,89,"3687"
"Month-to-month","Electronic check",24,"98.75","2407.3",1,85,"4016"
"One year","Electronic check",61,"106.0","6547.7",1,92,"4334"
"Month-to-month","Electronic check",41,"104.7","4346.4",1,84,"3316"
